LOCATION,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
Carrizo Plain,ALLSKY_SFC_SW_DWN,2020,9.83,15.92,17.19,23.18,28.82,30.25,30.68,25.53,20.12,16.03,12.29,9.56,19.96
Carrizo Plain,ALLSKY_SFC_SW_DWN,2021,10.29,15.83,19.97,26.1,29.96,30.61,28.32,26.16,21.87,16.35,11.5,7.66,20.4
Carrizo Plain,ALLSKY_SFC_SW_DWN,2022,10.69,15.79,19.86,25.49,29.74,30.44,29.26,26.56,21.53,17.24,12.4,7.32,20.54
Carrizo Plain,ALLSKY_SFC_SW_DWN,2023,9.47,13.82,16.63,25.5,27.06,28.16,29.6,25.64,21.53,17.31,12.44,8.78,19.69
Carrizo Plain,ALLSKY_SFC_SW_DWN,2024,9.17,13.13,18.37,23.87,29.29,30.38,28.96,26.67,22.54,16.76,11.45,8.81,19.96
Carrizo Plain,ALLSKY_SFC_SW_DWN,2025,12.03,13.76,17.95,22.85,28.32,-999,-999,-999,-999,-999,-999,-999,-999
Carrizo Plain,GWETROOT,2020,0.65,0.6,0.62,0.67,0.56,0.5,0.49,0.49,0.49,0.49,0.5,0.51,0.55
Carrizo Plain,GWETROOT,2021,0.55,0.63,0.59,0.53,0.5,0.5,0.49,0.49,0.49,0.51,0.52,0.59,0.53
Carrizo Plain,GWETROOT,2022,0.68,0.62,0.56,0.54,0.5,0.5,0.49,0.49,0.5,0.5,0.53,0.61,0.54
Carrizo Plain,GWETROOT,2023,0.85,0.86,0.94,0.85,0.67,0.56,0.5,0.5,0.5,0.5,0.51,0.55,0.65
Carrizo Plain,GWETROOT,2024,0.65,0.8,0.8,0.75,0.61,0.51,0.49,0.49,0.49,0.49,0.51,0.53,0.59
Carrizo Plain,GWETROOT,2025,0.52,0.58,0.61,0.57,0.52,0.5,0.49,0.49,-999,-999,-999,-999,-999
Carrizo Plain,T2M,2020,8.11,10.63,9.57,13.49,17.88,21.49,23.89,26.19,24.56,20.72,12.56,10.11,16.62
Carrizo Plain,T2M,2021,9.43,9.24,9.53,14.33,18.29,23.24,26.32,24.95,22.65,16,14.13,8.46,16.42
Carrizo Plain,T2M,2022,9.08,10.26,12.57,14.23,18.11,23.86,25.2,26.07,24.14,19.09,9.86,8.66,16.8
Carrizo Plain,T2M,2023,7.43,7,7.81,12.54,15.13,17.79,26.58,24.41,20.39,18.79,13.47,10.99,15.25
Carrizo Plain,T2M,2024,9.08,9.15,10.33,12.49,16.03,23.12,27.79,25.53,23.03,20.78,11.29,11.01,16.67
Carrizo Plain,T2M,2025,8.92,10.77,10.21,13.68,18.46,22.69,23.05,25.05,-999,-999,-999,-999,-999
Carrizo Plain,WS2M,2020,2.48,2.03,2.4,2.44,2.66,2.39,2.04,1.93,1.84,1.65,2.21,2.16,2.19
Carrizo Plain,WS2M,2021,2.45,2.39,2.27,2.31,2.5,2.6,1.96,1.82,1.78,2.27,1.86,2.23,2.2
Carrizo Plain,WS2M,2022,1.81,1.92,2.37,2.76,2.76,2.47,2.09,1.98,1.98,1.57,2.15,2.09,2.16
Carrizo Plain,WS2M,2023,2.69,2.49,2.67,2.17,2.13,2.17,1.97,2.07,2.03,1.9,2.05,2.1,2.2
Carrizo Plain,WS2M,2024,2.21,2.24,2.47,2.55,2.17,2.26,1.87,2,1.84,1.74,2.21,2.01,2.13
Carrizo Plain,WS2M,2025,2,2.65,2.74,2.1,2.28,2.29,2.04,1.95,-999,-999,-999,-999,-999
Carrizo Plain,PRECTOTCORR,2020,0.42,0.03,3.17,2.65,0.11,0.03,0,0.02,0,0.02,0.32,1,0.65
Carrizo Plain,PRECTOTCORR,2021,3.07,0.1,0.85,0.08,0.01,0,0.01,0.01,0,1.16,0.08,4.69,0.85
Carrizo Plain,PRECTOTCORR,2022,0.09,0.07,1.02,0.29,0,0.01,0.01,0,0.7,0.02,1.05,4.56,0.66
Carrizo Plain,PRECTOTCORR,2023,6.91,4.03,4.97,0.01,0.37,0.44,0.02,0.54,0.04,0.15,0.45,3.09,1.75
Carrizo Plain,PRECTOTCORR,2024,1.79,5.92,2.84,1.26,0.11,0.01,0,0.01,0.04,0,1.17,0.33,1.1
Carrizo Plain,PRECTOTCORR,2025,0.23,2.71,2.14,0.37,0.07,0.01,0.01,0,,,,,
