Location,Year,Month,Estimated_Score,Notes
Antelope Valley,2020,1,0.5318,No bloom activity; dormant landscape.
Antelope Valley,2020,2,0.5742,"Healthy green-up, no significant bloom."
Antelope Valley,2020,3,0.7105,"Strong, widespread bloom approaching peak."
Antelope Valley,2020,4,0.7956,Peak superbloom intensity.
Antelope Valley,2020,5,0.6133,Bloom is fading; post-peak.
Antelope Valley,2020,6,0.5429,Landscape is dry and dormant.
Antelope Valley,2020,7,0.5391,Deep summer dormancy.
Antelope Valley,2020,8,0.5365,Peak dry season.
Antelope Valley,2020,9,0.5377,Continued dry season.
Antelope Valley,2020,10,0.5342,Dormant autumn landscape.
Antelope Valley,2020,11,0.5311,Continued dormancy.
Antelope Valley,2020,12,0.533,Dormant winter landscape.
Antelope Valley,2021,1,0.5309,No bloom activity; dormant landscape.
Antelope Valley,2021,2,0.5512,Very minimal green-up.
Antelope Valley,2021,3,0.5733,"Sparse green growth, no bloom."
Antelope Valley,2021,4,0.5801,Peak of a non-bloom year.
Antelope Valley,2021,5,0.5584,Landscape is drying out.
Antelope Valley,2021,6,0.5402,Return to summer dormancy.
Antelope Valley,2021,7,0.5385,Deep summer dormancy.
Antelope Valley,2021,8,0.536,Peak dry season.
Antelope Valley,2021,9,0.5371,Continued dry season.
Antelope Valley,2021,10,0.5355,Dormant autumn landscape.
Antelope Valley,2021,11,0.5319,Continued dormancy.
Antelope Valley,2021,12,0.5325,Dormant winter landscape.
Antelope Valley,2022,1,0.5338,No bloom activity; dormant landscape.
Antelope Valley,2022,2,0.5598,"Sparse green-up, limited growth."
Antelope Valley,2022,3,0.5781,Peak of a non-bloom year.
Antelope Valley,2022,4,0.5624,Landscape is drying out.
Antelope Valley,2022,5,0.5451,Return to summer dormancy.
Antelope Valley,2022,6,0.5415,Landscape is dry and dormant.
Antelope Valley,2022,7,0.5399,Deep summer dormancy.
Antelope Valley,2022,8,0.5373,Peak dry season.
Antelope Valley,2022,9,0.538,Continued dry season.
Antelope Valley,2022,10,0.5366,Dormant autumn landscape.
Antelope Valley,2022,11,0.5341,Continued dormancy.
Antelope Valley,2022,12,0.535,Dormant winter landscape.
Antelope Valley,2023,1,0.5388,"Dormant landscape, but visibly saturated soil."
Antelope Valley,2023,2,0.6015,"Massive, vibrant green-up after heavy rains."
Antelope Valley,2023,3,0.7649,"Explosive start to the bloom, very widespread."
Antelope Valley,2023,4,0.8521,Peak of the historic superbloom.
Antelope Valley,2023,5,0.725,Bloom is fading but still very strong.
Antelope Valley,2023,6,0.5833,Landscape rapidly drying out.
