Location,Year,Month,Estimated_Score,ALLSKY_SFC_SW_DWN,GWETROOT,PRECTOTCORR,T2M,WS2M,ALLSKY_SFC_SW_DWN_lag1,ALLSKY_SFC_SW_DWN_lag2,ALLSKY_SFC_SW_DWN_lag3,ALLSKY_SFC_SW_DWN_lag6,GWETROOT_lag1,GWETROOT_lag2,GWETROOT_lag3,GWETROOT_lag6,PRECTOTCORR_lag1,PRECTOTCORR_lag2,PRECTOTCORR_lag3,PRECTOTCORR_lag6,T2M_lag1,T2M_lag2,T2M_lag3,T2M_lag6,WS2M_lag1,WS2M_lag2,WS2M_lag3,WS2M_lag6,ALLSKY_SFC_SW_DWN_roll3,ALLSKY_SFC_SW_DWN_roll6,GWETROOT_roll3,GWETROOT_roll6,PRECTOTCORR_roll3,PRECTOTCORR_roll6,T2M_roll3,T2M_roll6,WS2M_roll3,WS2M_roll6,precip_temp_interaction,Month_sin,Month_cos,Year_normalized,Location_encoded
Carrizo Plain,2020,7,0.5433,30.68,0.49,0.0,23.89,2.04,30.25,28.82,23.18,9.83,0.5,0.56,0.67,0.65,0.03,0.11,2.65,0.42,21.49,17.88,13.49,8.11,2.39,2.66,2.44,2.48,29.916666666666668,24.34,0.5166666666666667,0.5733333333333334,0.04666666666666667,0.9983333333333334,21.08666666666667,16.158333333333335,2.3633333333333333,2.3266666666666667,0.0,-0.4999999999999998,-0.8660254037844388,0.0,0
Carrizo Plain,2020,8,0.5381,25.53,0.49,0.02,26.19,1.93,30.68,30.25,28.82,15.92,0.49,0.5,0.56,0.6,0.0,0.03,0.11,0.03,23.89,21.49,17.88,10.63,2.04,2.39,2.66,2.03,28.820000000000004,25.941666666666666,0.49333333333333335,0.555,0.016666666666666666,0.9966666666666666,23.856666666666666,18.75166666666667,2.12,2.31,0.5238,-0.8660254037844384,-0.5000000000000004,0.0,0
Carrizo Plain,2020,9,0.5379,20.12,0.49,0.0,24.56,1.84,25.53,30.68,30.25,17.19,0.49,0.49,0.5,0.62,0.02,0.0,0.03,3.17,26.19,23.89,21.49,9.57,1.93,2.04,2.39,2.4,25.44333333333334,26.429999999999996,0.49,0.5333333333333333,0.006666666666666667,0.4683333333333333,24.88,21.25,1.9366666666666668,2.216666666666667,0.0,-1.0,-1.8369701987210297e-16,0.0,0
Carrizo Plain,2020,10,0.5368,16.03,0.49,0.02,20.72,1.65,20.12,25.53,30.68,23.18,0.49,0.49,0.49,0.67,0.0,0.02,0.0,2.65,24.56,26.19,23.89,13.49,1.84,1.93,2.04,2.44,20.56,25.238333333333333,0.49,0.5033333333333333,0.013333333333333334,0.03,23.823333333333334,22.455,1.8066666666666666,2.085,0.4144,-0.8660254037844386,0.5000000000000001,0.0,0
Carrizo Plain,2020,11,0.5345,12.29,0.5,0.32,12.56,2.21,16.03,20.12,25.53,28.82,0.49,0.49,0.49,0.56,0.02,0.0,0.02,0.11,20.72,24.56,26.19,17.88,1.65,1.84,1.93,2.66,16.14666666666667,22.483333333333334,0.49333333333333335,0.49333333333333335,0.11333333333333334,0.065,19.279999999999998,21.56833333333333,1.9000000000000001,2.0100000000000002,4.0192000000000005,-0.5000000000000004,0.8660254037844384,0.0,0
Carrizo Plain,2020,12,0.5351,9.56,0.51,1.0,10.11,2.16,12.29,16.03,20.12,30.25,0.5,0.49,0.49,0.5,0.32,0.02,0.0,0.03,12.56,20.72,24.56,21.49,2.21,1.65,1.84,2.39,12.626666666666667,19.035,0.5,0.49499999999999994,0.4466666666666667,0.22666666666666666,14.463333333333333,19.671666666666667,2.0066666666666664,1.9716666666666667,10.11,-2.4492935982947064e-16,1.0,0.0,0
Carrizo Plain,2021,1,0.5381,10.29,0.55,3.07,9.43,2.45,9.56,12.29,16.03,30.68,0.51,0.5,0.49,0.49,1.0,0.32,0.02,0.0,10.11,12.56,20.72,23.89,2.16,2.21,1.65,2.04,10.713333333333333,15.636666666666665,0.52,0.505,1.4633333333333332,0.7383333333333333,10.700000000000001,17.261666666666667,2.2733333333333334,2.04,28.9501,0.49999999999999994,0.8660254037844387,0.2,0
Carrizo Plain,2021,2,0.553,15.83,0.63,0.1,9.24,2.39,10.29,9.56,12.29,25.53,0.55,0.51,0.5,0.49,3.07,1.0,0.32,0.02,9.43,10.11,12.56,26.19,2.45,2.16,2.21,1.93,11.893333333333333,14.020000000000001,0.5633333333333334,0.5283333333333333,1.39,0.7516666666666666,9.593333333333332,14.436666666666667,2.3333333333333335,2.1166666666666667,0.924,0.8660254037844386,0.5000000000000001,0.2,0
Carrizo Plain,2021,3,0.5702,19.97,0.59,0.85,9.53,2.27,15.83,10.29,9.56,20.12,0.63,0.55,0.51,0.49,0.1,3.07,1.0,0.0,9.24,9.43,10.11,24.56,2.39,2.45,2.16,1.84,15.363333333333332,13.995,0.59,0.5449999999999999,1.3399999999999999,0.8933333333333334,9.4,11.931666666666665,2.3699999999999997,2.188333333333333,8.100499999999998,1.0,6.123233995736766e-17,0.2,0
Carrizo Plain,2021,4,0.5815,26.1,0.53,0.08,14.33,2.31,19.97,15.83,10.29,16.03,0.59,0.63,0.55,0.49,0.85,0.1,3.07,0.02,9.53,9.24,9.43,20.72,2.27,2.39,2.45,1.65,20.633333333333333,15.673333333333332,0.5833333333333334,0.5516666666666666,0.3433333333333335,0.9033333333333333,11.033333333333333,10.866666666666665,2.3233333333333337,2.2983333333333333,1.1464,0.8660254037844387,-0.49999999999999983,0.2,0
